kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,340990,215360,99980,49990,30436,,,,,,,,
128,344319,225344,137627,69961,39234,22214,,,,,,,
256,453587,223768,181962,62976,36727,27076,10517,,,,,,
512,352785,319639,145445,38661,42538,35113,17231,4425,,,,,
1024,398744,297632,178741,105533,68984,29081,19512,7517,3663,,,,
2048,299936,268046,170662,107943,56021,31868,15351,8062,4774,1661,,,
4096,389502,298726,217145,115934,63045,30616,16245,9546,4106,2330,867,,
8192,359610,298888,181685,111155,49669,37649,19298,8101,5718,2070,804,460,
16384,416554,410102,249391,129492,60120,35416,17543,9540,3819,2029,795,399,208
32768,0,0,0,0,63007,36472,18675,8561,5244,2158,809,445,212
65536,0,0,0,0,92904,45321,23882,12319,5842,2639,921,467,243
131072,0,0,0,0,89287,51013,21127,14646,6698,2929,1050,454,235
262144,0,0,0,0,90613,49970,26625,12825,6789,3096,1082,479,237
524288,0,0,0,0,95183,44400,28507,14128,7188,2709,1209,524,263
