kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,486981,350234,160079,110659,55329,,,,,,,,
128,352457,340990,156938,95430,22745,24995,,,,,,,
256,576282,336549,192949,114206,78469,30862,14472,,,,,,
512,496272,388021,186205,104562,54049,36017,24118,7348,,,,,
1024,768712,336848,226183,180933,69556,30648,17317,9953,4976,,,,
2048,438279,339061,197829,113656,59262,35175,17736,7378,4165,1736,,,
4096,471414,311283,188945,123310,67162,34782,17858,10838,4184,2096,751,,
8192,499623,322740,209657,144304,53849,39558,19207,9974,4014,2510,759,400,
16384,486519,387810,249637,137899,66821,36762,15779,8175,3646,2297,825,337,227
32768,0,0,0,0,97653,54993,20901,11674,7583,1996,937,517,224
65536,0,0,0,0,91773,55973,24854,12586,5891,2818,963,524,271
131072,0,0,0,0,87290,57544,21746,13252,6739,3077,1028,487,227
262144,0,0,0,0,106641,51246,25477,13873,7422,3039,1025,480,248
524288,0,0,0,0,103652,55937,27105,14264,7109,3205,1130,515,265
