kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,445002,332862,182747,105112,66782,,,,,,,,
128,394983,340990,195304,102421,80039,45686,,,,,,,
256,477808,307976,262343,133255,66627,35725,16656,,,,,,
512,342434,383038,278572,43838,72659,43941,26731,10310,,,,,
1024,363634,419822,222989,85554,80388,46745,19604,9012,5179,,,,
2048,383835,289589,192164,92506,52289,33324,17165,9437,4159,2335,,,
4096,348170,260971,187690,113484,64329,29090,15339,10337,3834,1958,874,,
8192,389941,297501,206037,110880,61477,40228,21123,8569,5081,2087,793,461,
16384,462299,295564,202527,123434,61923,37680,16775,9193,4066,1892,776,386,219
32768,0,0,0,0,57257,38565,20002,8828,5569,2102,907,458,231
65536,0,0,0,0,70581,39865,18605,8917,4593,2608,898,439,215
131072,0,0,0,0,79094,41524,19732,11129,5759,2556,1011,478,247
262144,0,0,0,0,85074,46975,23642,12693,6102,3059,1058,493,264
524288,0,0,0,0,113763,53930,26934,14206,7119,3366,1187,518,267
