kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,270812,177719,88859,49990,23326,,,,,,,,
128,262243,180010,84348,51336,27702,17490,,,,,,,
256,310759,175722,121177,57475,24570,14721,6800,,,,,,
512,221043,209093,118587,69846,27395,17018,8130,3446,,,,,
1024,273787,202531,111485,56233,30716,17859,7693,4175,1996,,,,
2048,248556,194807,98457,46677,23806,13289,7098,3530,2000,1058,,,
4096,243578,154820,83966,54329,25858,14966,6482,3420,1518,885,466,,
8192,279285,152380,105305,49220,26191,12251,6596,3826,1647,893,424,247,
16384,281181,179065,122490,56386,28067,16427,6993,3586,1610,927,442,185,106
32768,0,0,0,0,24672,14364,7168,3322,1951,937,460,239,130
65536,0,0,0,0,29933,16513,7422,4186,2002,1052,548,254,103
131072,0,0,0,0,34154,16506,8353,4170,2161,1063,515,271,129
262144,0,0,0,0,35625,18203,9563,4867,2378,1170,587,325,147
524288,0,0,0,0,46098,9048,9928,5072,2571,1192,629,290,184
