kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,262343,140509,77028,45391,24271,,,,,,,,
128,203728,159856,81481,53293,35725,12199,,,,,,,
256,329852,183908,116750,56412,39216,22203,5153,,,,,,
512,351630,203236,121705,69846,32520,18604,14931,2450,,,,,
1024,274627,206107,82881,58082,31568,12817,10071,5103,1984,,,,
2048,257528,168965,77194,48048,26936,14704,7136,4140,3571,1139,,,
4096,294846,180025,103107,48851,28047,11958,6530,3896,2009,1196,512,,
8192,287319,168556,96734,53927,26235,13380,7454,3429,1569,993,717,239,
16384,305992,208317,122882,53261,27124,13414,6311,3091,1551,964,493,321,115
32768,0,0,0,0,27546,17939,7028,3185,1830,761,381,250,177
65536,0,0,0,0,36010,14715,7581,3898,2061,965,528,233,148
131072,0,0,0,0,44531,21476,10227,4961,2261,986,600,283,169
262144,0,0,0,0,47136,22191,9302,5257,2521,1186,603,317,146
524288,0,0,0,0,43508,17988,9708,4772,2636,1002,633,325,162
