kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,550950,236622,180777,179221,59236,,,,,,,,
128,463130,390609,139923,111250,84049,37181,,,,,,,
256,674790,421001,266510,121220,51973,39052,18574,,,,,,
512,531131,474430,220823,122059,63936,41650,24399,11372,,,,,
1024,523570,387686,244075,107390,78784,37922,17794,10358,5434,,,,
2048,453074,277681,228183,105816,57142,34051,17624,8351,6101,2701,,,
4096,494253,324011,198737,124396,69582,26626,16230,9951,4624,1913,1010,,
8192,520734,367034,198532,127178,72483,37734,17965,9462,4917,2661,803,442,
16384,614382,404178,250365,138450,68066,34641,16653,8743,3577,2108,792,386,216
32768,0,0,0,0,63888,39108,20391,11665,5957,2241,899,452,236
65536,0,0,0,0,81644,51716,23046,11197,5124,2902,959,476,212
131072,0,0,0,0,85963,40594,16090,10778,5488,2438,919,459,234
262144,0,0,0,0,105798,49376,24755,12858,5988,3150,1217,539,315
524288,0,0,0,0,130516,61345,31436,15282,7886,4022,1552,549,333
