kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,355438,181566,55589,47445,31113,,,,,,,,
128,271253,173944,97314,37718,28551,10759,,,,,,,
256,323491,221918,114363,62976,34183,16953,7872,,,,,,
512,342216,264519,136150,51629,29516,14503,9906,4425,,,,,
1024,252478,260136,119847,58924,29475,15295,7507,3976,1851,,,,
2048,321200,150493,99923,63432,28625,12057,6993,3247,2089,1014,,,
4096,298286,196228,120974,59369,27244,14284,7070,3261,1877,1004,458,,
8192,366953,174828,96365,52663,27338,13335,7799,3655,1701,913,523,212,
16384,338207,174312,111813,53855,32478,14978,7091,3157,1678,1092,486,195,93
32768,0,0,0,0,29465,16047,7218,3917,2173,968,515,277,131
65536,0,0,0,0,39702,20997,9998,5674,2882,1350,643,306,169
131072,0,0,0,0,46596,19649,11895,5321,2624,1431,600,305,155
262144,0,0,0,0,40624,20627,12168,5741,2628,1442,751,372,164
524288,0,0,0,0,50690,14439,10341,6291,2679,971,645,294,195
