kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,589679,365494,175117,183134,58411,,,,,,,,
128,516608,340990,148598,117482,62692,43327,,,,,,,
256,339016,367915,297197,156938,71451,30862,15661,,,,,,
512,503723,363829,262243,118607,69069,39587,22745,8778,,,,,
1024,527687,327399,211899,99953,70804,40194,20820,10812,3715,,,,
2048,459668,270613,216584,136482,50159,32127,17017,8457,6270,2146,,,
4096,562993,405047,218960,118519,72319,39606,16428,10101,4795,2457,1044,,
8192,509945,371157,201248,111409,62992,38697,19703,7870,5091,2682,763,478,
16384,591129,356047,229999,138495,66150,45664,16231,8101,3876,2434,769,368,196
32768,0,0,0,0,74084,40125,21223,11072,5822,2300,837,546,230
65536,0,0,0,0,93267,56971,24794,12445,4989,3180,1079,463,256
131072,0,0,0,0,101698,50393,30393,12398,6621,2864,988,464,230
262144,0,0,0,0,98958,55106,28689,13557,6878,3127,1077,467,238
524288,0,0,0,0,109561,47574,27615,13723,7209,3216,917,513,262
