kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,433503,266716,111250,52823,25605,,,,,,,,
128,351534,202864,122997,61725,33851,17862,,,,,,,
256,441646,204973,199844,100220,46499,18859,7196,,,,,,
512,295665,307907,204973,86950,44930,23243,11055,3558,,,,,
1024,316476,327199,188798,101311,52477,22034,9999,4376,1626,,,,
2048,363622,231919,153663,93832,45779,23499,12558,5369,2563,1003,,,
4096,410577,247954,186322,91168,50630,22807,11809,5742,2519,911,434,,
8192,364338,294664,153207,91688,64614,30623,14862,6725,1951,1044,444,236,
16384,463396,343284,212403,111860,55505,27699,13570,6237,2935,1145,560,209,106
32768,0,0,0,0,44630,27228,13675,5874,3362,1289,510,262,113
65536,0,0,0,0,63967,28867,13604,7144,3503,1283,565,280,143
131072,0,0,0,0,72598,36281,16889,7953,4021,1516,589,307,149
262144,0,0,0,0,74594,35031,18664,7108,4159,1739,612,329,157
524288,0,0,0,0,90390,43154,18937,8828,4503,1729,690,333,161
