kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,159856,73454,42174,21743,11220,,,,,,,,
128,144040,72097,36679,18686,11232,5185,,,,,,,
256,169273,90394,47635,25404,14341,5798,3310,,,,,,
512,151666,115914,53349,20027,10912,7490,3589,1543,,,,,
1024,149633,114183,52760,23338,11886,6784,3122,1516,801,,,,
2048,162333,68248,45025,22205,12944,7451,3511,1539,904,414,,,
4096,185906,88410,41871,22542,11267,6058,2777,1631,808,358,214,,
8192,150508,95026,44789,22424,15503,5051,3309,1893,778,415,172,105,
16384,176309,87904,54557,29974,12850,6331,3083,1583,664,392,227,88,40
32768,0,0,0,0,10418,6653,3234,1589,741,445,197,100,51
65536,0,0,0,0,13536,7228,3596,1633,893,434,222,88,52
131072,0,0,0,0,13907,7486,3805,1857,972,486,235,124,58
262144,0,0,0,0,18175,8952,4607,2278,1093,544,275,137,74
524288,0,0,0,0,19710,9297,4752,2335,1156,504,290,143,73
