kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,250587,106587,47020,51210,27093,,,,,,,,
128,89609,73039,84137,49961,15626,14675,,,,,,,
256,355635,186983,155414,62045,32844,25281,4569,,,,,,
512,372102,100132,133842,77689,45977,23939,8298,2053,,,,,
1024,357579,303350,216863,62143,29091,31364,12230,6453,2347,,,,
2048,470134,264220,83006,52410,61208,11886,7583,6087,3305,743,,,
4096,420382,254356,168303,104738,39952,29519,6230,7483,4773,1079,858,,
8192,504169,327066,72335,135014,55434,26166,10989,5738,2509,677,543,288,
16384,174305,318702,242889,48715,52396,33898,13104,8194,4432,1913,534,318,180
32768,0,0,0,0,62722,31805,15982,5382,3405,1972,527,349,184
65536,0,0,0,0,76567,35152,20444,10993,5158,2388,861,370,162
131072,0,0,0,0,97504,46907,18366,12017,5982,2497,976,338,217
262144,0,0,0,0,93167,42841,19192,12287,6834,2089,1029,438,223
524288,0,0,0,0,70803,46474,26420,11111,5784,3251,1207,448,227
