kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,216615,57573,9074,3583,12343,,,,,,,,
128,209125,134539,66077,22227,16650,11131,,,,,,,
256,265565,121705,24020,17432,19719,3703,6019,,,,,,
512,212302,48307,72090,36045,8907,11725,4818,956,,,,,
1024,241517,170879,43360,18172,7064,12778,5874,2171,546,,,,
2048,292899,64844,66868,49274,22838,12012,6018,3020,1597,771,,,
4096,66705,107450,87940,35964,20088,9039,3913,2953,1796,826,387,,
8192,151199,130064,66605,46109,10670,12174,5365,2758,1044,572,342,156,
16384,264648,164024,96703,56413,22511,11128,4331,3381,1253,683,474,229,106
32768,0,0,0,0,22915,11871,5406,2799,1217,633,329,197,87
65536,0,0,0,0,22742,10168,5440,2821,1464,655,352,188,86
131072,0,0,0,0,29587,14331,6410,3549,1462,753,363,212,105
262144,0,0,0,0,22729,8934,6320,2468,1597,665,369,162,100
524288,0,0,0,0,9123,4161,3151,1236,609,288,192,112,53
