kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,271909,221035,251134,77097,34719,,,,,,,,
128,394983,71104,111178,147419,23776,23722,,,,,,,
256,500060,329930,122953,64058,42929,2673,5993,,,,,,
512,99849,50793,132782,115943,29516,22345,13340,4406,,,,,
1024,393340,314547,235303,181914,17431,6466,7365,7353,4311,,,,
2048,130018,345054,61717,43269,23338,8117,10089,5681,2043,1562,,,
4096,437779,148833,64875,87483,44137,27231,14312,4868,4282,993,446,,
8192,452916,324447,209412,118360,64189,31540,14638,7979,3844,1596,683,302,
16384,406837,353468,224517,150280,70832,36876,13165,11531,6123,2432,513,359,171
32768,0,0,0,0,44187,32968,18408,8065,5785,2094,691,338,168
65536,0,0,0,0,71096,35639,17743,11772,5091,2254,866,416,171
131072,0,0,0,0,77732,45808,23594,12066,5484,2776,1013,471,202
262144,0,0,0,0,84427,46173,25192,11328,6099,3353,1104,468,239
524288,0,0,0,0,76162,41017,26159,14018,7248,3415,1064,480,217
