kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,181962,103625,68813,26989,6756,,,,,,,,
128,179963,143148,22922,33367,6554,8545,,,,,,,
256,185408,136844,67800,11836,11238,4106,3144,,,,,,
512,78664,42388,68241,51471,14207,9899,5916,1170,,,,,
1024,293949,190460,101113,52887,8565,3720,4843,2590,1386,,,,
2048,79196,170440,93779,16260,17768,3140,5834,3157,1531,810,,,
4096,269060,57944,32368,45134,22965,12529,6899,2822,1620,308,143,,
8192,266844,164553,39683,51353,26484,13256,6015,3370,1715,795,321,217,
16384,268009,172857,92854,53640,23559,11934,6630,3313,1567,719,421,229,111
32768,0,0,0,0,21764,13825,5325,3142,1653,879,439,218,91
65536,0,0,0,0,25252,12475,5909,3300,1725,805,430,218,108
131072,0,0,0,0,27898,14017,7120,3714,1991,956,464,237,96
262144,0,0,0,0,17126,11127,5332,2832,1362,688,429,215,89
524288,0,0,0,0,12803,5637,2456,1285,728,310,154,133,60
