kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,457127,234965,142414,68868,24995,,,,,,,,
128,164926,126906,94305,54683,28649,15374,,,,,,,
256,420873,186983,148206,59199,41241,18204,5708,,,,,,
512,405245,114091,223768,89861,32115,26851,6776,2638,,,,,
1024,392620,122132,71739,73390,85619,28981,8176,3006,2083,,,,
2048,563820,316849,81742,65780,43312,12120,7692,6768,3226,1207,,,
4096,455902,280834,65005,111504,42576,30422,12384,7239,4128,609,630,,
8192,554840,367285,222035,96379,59953,32272,13746,8226,3519,1793,629,230,
16384,408210,391201,269482,79628,69887,38845,19024,12092,6297,2160,919,410,211
32768,0,0,0,0,77493,44183,20150,7696,4206,3088,623,382,221
65536,0,0,0,0,88024,43775,19607,13640,6143,3500,1012,402,231
131072,0,0,0,0,99790,40454,22315,12906,6762,2855,928,440,220
262144,0,0,0,0,109194,52626,27309,14362,6205,3821,1246,438,230
524288,0,0,0,0,83862,47286,30390,15006,6916,4108,1312,464,254
