kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,188082,40830,47688,24686,15152,,,,,,,,
128,206550,123861,66601,32275,10158,6454,,,,,,,
256,307554,71590,53695,31992,22345,15984,2045,,,,,,
512,157080,58986,66385,52477,8273,12115,6289,940,,,,,
1024,231469,148314,73467,55558,7098,9826,5656,3043,580,,,,
2048,294587,62438,85792,14352,17011,4239,2154,3454,2255,678,,,
4096,82334,161515,90551,41301,8033,11478,6095,2906,1703,462,418,,
8192,308482,182890,102771,43627,24763,8031,6022,3205,1488,751,564,208,
16384,335493,126953,62362,53035,23880,13627,5947,3382,1708,263,496,344,113
32768,0,0,0,0,23875,10275,5911,2765,1425,653,382,206,146
65536,0,0,0,0,23632,14122,5859,3280,1717,737,368,185,86
131072,0,0,0,0,28563,12924,5147,3653,1357,790,393,187,95
262144,0,0,0,0,23107,11204,6613,3438,1390,526,336,164,91
524288,0,0,0,0,11163,6328,2338,1193,584,274,140,97,51
