kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,611160,234965,306121,168426,45686,,,,,,,,
128,483135,258304,72659,104985,28168,32312,,,,,,,
256,582535,291267,128117,81481,42174,15984,16925,,,,,,
512,151111,113705,203728,122953,49651,24862,15893,3446,,,,,
1024,443730,351630,192730,128955,32005,13396,9566,7038,4347,,,,
2048,197002,398005,77017,104742,50234,9976,12946,7735,2849,2320,,,
4096,495622,266245,70331,95243,44815,27589,14759,4050,3117,1188,444,,
8192,560781,373449,248183,124264,63747,30858,15023,8306,3976,2017,685,372,
16384,636909,421141,247166,161103,70405,36919,9778,11535,4106,2664,509,455,206
32768,0,0,0,0,37703,46741,21846,8757,6312,1618,592,334,194
65536,0,0,0,0,86390,42029,20903,13798,6059,3157,759,385,196
131072,0,0,0,0,103387,53394,27296,13113,7544,3325,1031,481,202
262144,0,0,0,0,98738,55880,25545,13599,6562,3074,1140,495,237
524288,0,0,0,0,93805,42275,27678,15209,7958,3997,1122,477,255
