kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,168274,109724,72689,33313,5851,,,,,,,,
128,166563,111884,40632,27785,5933,4761,,,,,,,
256,203082,141608,25972,36719,17776,9711,5153,,,,,,
512,95091,135313,76529,14507,6712,10988,4785,2849,,,,,
1024,245213,161231,102074,49843,8101,4691,4483,2190,1729,,,,
2048,83049,187657,72976,50793,24823,11568,5464,3124,1528,408,,,
4096,272198,163421,85104,43938,9196,11855,1875,3040,1635,336,323,,
8192,295229,176763,101990,55410,24320,12546,6494,1376,1680,778,363,209,
16384,334422,187014,104434,61656,26451,12886,3795,3544,1796,820,414,232,112
32768,0,0,0,0,28062,13309,6743,2390,981,862,453,213,104
65536,0,0,0,0,22230,9239,6960,3429,1259,927,358,224,86
131072,0,0,0,0,23028,10884,7402,3452,1701,946,386,215,105
262144,0,0,0,0,19745,9496,4507,2399,1347,620,327,209,78
524288,0,0,0,0,9294,4400,2305,1275,563,304,149,109,58
