kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,231565,420451,191072,77097,100328,,,,,,,,
128,363925,281018,154056,92791,30749,15374,,,,,,,
256,592827,269078,66391,84989,57891,3663,17862,,,,,,
512,356533,229274,202499,105218,53362,13423,15626,3484,,,,,
1024,431601,312897,184389,153953,34774,13702,12578,4000,5205,,,,
2048,164737,316103,88947,83551,53328,10382,8230,5797,3760,2201,,,
4096,434633,93227,62605,76829,24408,21133,13468,3853,2648,751,602,,
8192,543226,321604,218689,100671,54077,23287,10705,6589,3053,1136,495,293,
16384,425467,377433,208556,118764,44283,28014,16461,8091,4079,1536,568,378,212
32768,0,0,0,0,31583,30526,16254,7804,4636,2060,582,352,198
65536,0,0,0,0,73712,38706,19651,11406,4743,2006,709,335,168
131072,0,0,0,0,91062,42245,20839,11150,6438,2506,826,394,221
262144,0,0,0,0,97990,45507,24288,13576,6104,2615,1104,495,224
524288,0,0,0,0,105504,40592,27008,12740,5777,2775,942,467,226
