kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,163359,95377,71451,22203,9991,,,,,,,,
128,390388,54041,76120,33906,11247,11624,,,,,,,
256,328238,75666,49063,77707,35710,5306,5715,,,,,,
512,298459,98479,180690,100642,13514,13109,8098,1091,,,,,
1024,467086,95294,58130,104873,21421,5641,5722,3240,1424,,,,
2048,536092,92853,195452,87930,25762,7733,10555,4914,2109,812,,,
4096,395200,368110,162964,79105,62736,18348,10126,5095,2546,769,143,,
8192,506547,322111,181439,34492,13687,14375,7155,5579,1241,1072,312,218,
16384,514247,294500,163159,108317,52751,23071,12710,6581,2929,1371,503,184,84
32768,0,0,0,0,57021,25071,10199,3883,2461,1191,511,280,115
65536,0,0,0,0,61608,25207,10901,5622,2447,1304,536,280,126
131072,0,0,0,0,64469,27046,13234,6226,2776,1533,652,281,141
262144,0,0,0,0,57797,28436,12417,6645,3453,1447,585,285,149
524288,0,0,0,0,68557,22552,12805,6038,3114,1533,587,259,143
