kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,379562,209970,67703,21519,13156,,,,,,,,
128,278572,371165,131171,74299,22262,10412,,,,,,,
256,151333,250030,76888,90981,33038,12357,9804,,,,,,
512,325611,104376,112617,121396,34176,27971,8623,2778,,,,,
1024,348300,74723,86597,79995,98140,10255,12616,6351,2012,,,,
2048,452692,143169,83445,76743,46509,12149,14135,7547,3816,1879,,,
4096,376592,152652,180163,100786,46172,25956,18123,8989,4334,2030,798,,
8192,130030,227153,199287,122074,26919,31682,13913,5410,4545,1430,512,181,
16384,497148,289517,218109,129947,52032,35290,16020,11065,5778,3122,796,375,168
32768,0,0,0,0,81270,33190,20562,9183,4874,2059,664,357,161
65536,0,0,0,0,76652,42289,18242,11024,4700,2451,769,427,115
131072,0,0,0,0,96055,38586,24860,12381,5218,2614,959,412,143
262144,0,0,0,0,87353,37765,26105,9733,6440,3244,1009,451,228
524288,0,0,0,0,85602,51524,22306,14657,6216,3036,1025,515,213
