kb,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,82463,34923,22863,7092,2747,,,,,,,,
128,96089,26104,21862,11588,7276,3831,,,,,,,
256,126691,12867,27260,14495,3233,1369,1524,,,,,,
512,36056,56634,8226,14666,3111,1186,1824,1213,,,,,
1024,41384,70374,31854,6608,3595,1368,1841,1269,581,,,,
2048,152154,80473,34857,19138,10040,4043,633,531,540,342,,,
4096,62702,72376,35919,14724,2461,5061,2329,1270,539,290,151,,
8192,151908,84080,39705,19073,10266,5562,2663,1253,302,119,89,86,
16384,142757,86794,40610,15229,8933,5215,2668,711,580,252,138,62,46
32768,0,0,0,0,8154,5383,2489,1343,658,219,161,58,31
65536,0,0,0,0,9070,5269,2813,1329,585,316,182,88,34
131072,0,0,0,0,11391,5185,3149,1572,776,391,183,95,47
262144,0,0,0,0,8925,5567,2682,1522,736,309,156,82,40
524288,0,0,0,0,6260,3519,1963,962,550,262,138,68,33
