	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Fri Sep 26 20:25:04 2025

	Network distribution mode enabled.
	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -+m /shared/machines.txt -f /shared/testfile -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4    159856    355438    589679    550950    445002    270812    340990     433503     550950    249655    262343    486981    616777
              64       8     73454    181566    365494    236622    332862    177719    215360     266716     241736    166270    140509    350234    275475
              64      16     42174     55589    175117    180777    182747     88859     99980     111250     168098     85247     77028    160079    160079
              64      32     21743     47445    183134    179221    105112     49990     49990      52823      90388     41774     45391    110659    118473
              64      64     11220     31113     58411     59236     66782     23326     30436      25605      50047     27812     24271     55329     56069
             128       4    144040    271253    516608    463130    394983    262243    344319     351534     410695    253812    203728    352457    484880
             128       8     72097    173944    340990    390609    340990    180010    225344     202864     332541    181962    159856    340990    334198
             128      16     36679     97314    148598    139923    195304     84348    137627     122997     204842     99922     81481    156938    181566
             128      32     18686     37718    117482    111250    102421     51336     69961      61725      92791     34183     53293     95430    120868
             128      64     11232     28551     62692     84049     80039     27702     39234      33851      66679     24399     35725     22745     38514
             128     128      5185     10759     43327     37181     45686     17490     22214      17862      23326     13897     12199     24995     31346
             256       4    169273    323491    339016    674790    477808    310759    453587     441646     247907    320021    329852    576282    491815
             256       8     90394    221918    367915    421001    307976    175722    223768     204973     316696    244118    183908    336549    340822
             256      16     47635    114363    297197    266510    262343    121177    181962     199844     334198    117774    116750    192949    254387
             256      32     25404     62976    156938    121220    133255     57475     62976     100220     108307     40436     56412    114206    121220
             256      64     14341     34183     71451     51973     66627     24570     36727      46499      78469     36095     39216     78469     80348
             256     128      5798     16953     30862     39052     35725     14721     27076      18859      37149     15369     22203     30862     41774
             256     256      3310      7872     15661     18574     16656      6800     10517       7196      13670      6992      5153     14472     13715
             512       4    151666    342216    503723    531131    342434    221043    352785     295665     372102    370050    351630    496272    571257
             512       8    115914    264519    363829    474430    383038    209093    319639     307907     304761    182261    203236    388021    424198
             512      16     53349    136150    262243    220823    278572    118587    145445     204973     217601    113859    121705    186205    237215
             512      32     20027     51629    118607    122059     43838     69846     38661      86950     181962     51789     69846    104562     65040
             512      64     10912     29516     69069     63936     72659     27395     42538      44930      77707     35069     32520     54049     83301
             512     128      7490     14503     39587     41650     43941     17018     35113      23243      40839     18102     18604     36017     33300
             512     256      3589      9906     22745     24399     26731      8130     17231      11055      20029      6893     14931     24118     17704
             512     512      1543      4425      8778     11372     10310      3446      4425       3558       8325      3789      2450      7348      5491
            1024       4    149633    252478    527687    523570    363634    273787    398744     316476     369897    284449    274627    768712    750970
            1024       8    114183    260136    327399    387686    419822    202531    297632     327199     292285    202531    206107    336848    348661
            1024      16     52760    119847    211899    244075    222989    111485    178741     188798     195680    102738     82881    226183    231848
            1024      32     23338     58924     99953    107390     85554     56233    105533     101311      83791     47972     58082    180933    179722
            1024      64     11886     29475     70804     78784     80388     30716     68984      52477     107407     27630     31568     69556     68984
            1024     128      6784     15295     40194     37922     46745     17859     29081      22034      45977     15034     12817     30648     33327
            1024     256      3122      7507     20820     17794     19604      7693     19512       9999      17701      9306     10071     17317     18961
            1024     512      1516      3976     10812     10358      9012      4175      7517       4376       9090      3246      5103      9953      8767
            1024    1024       801      1851      3715      5434      5179      1996      3663       1626       3817      2058      1984      4976      3256
            2048       4    162333    321200    459668    453074    383835    248556    299936     363622     354089    287296    257528    438279    440256
            2048       8     68248    150493    270613    277681    289589    194807    268046     231919     262284    166890    168965    339061    346390
            2048      16     45025     99923    216584    228183    192164     98457    170662     153663     172029     79116     77194    197829    156851
            2048      32     22205     63432    136482    105816     92506     46677    107943      93832     114921     52420     48048    113656    118734
            2048      64     12944     28625     50159     57142     52289     23806     56021      45779      58513     29577     26936     59262     49005
            2048     128      7451     12057     32127     34051     33324     13289     31868      23499      53695     13803     14704     35175     35398
            2048     256      3511      6993     17017     17624     17165      7098     15351      12558      20412      7612      7136     17736     18061
            2048     512      1539      3247      8457      8351      9437      3530      8062       5369       9479      3968      4140      7378      8265
            2048    1024       904      2089      6270      6101      4159      2000      4774       2563       5479      1803      3571      4165      4914
            2048    2048       414      1014      2146      2701      2335      1058      1661       1003       1371      1118      1139      1736      2183
            4096       4    185906    298286    562993    494253    348170    243578    389502     410577     421413    306131    294846    471414    516110
            4096       8     88410    196228    405047    324011    260971    154820    298726     247954     286376    184971    180025    311283    326325
            4096      16     41871    120974    218960    198737    187690     83966    217145     186322     179531    102811    103107    188945    235945
            4096      32     22542     59369    118519    124396    113484     54329    115934      91168      90142     53182     48851    123310    127984
            4096      64     11267     27244     72319     69582     64329     25858     63045      50630      63164     26457     28047     67162     73147
            4096     128      6058     14284     39606     26626     29090     14966     30616      22807      30679     10873     11958     34782     35082
            4096     256      2777      7070     16428     16230     15339      6482     16245      11809      19826      6624      6530     17858     17896
            4096     512      1631      3261     10101      9951     10337      3420      9546       5742       9840      4016      3896     10838     11126
            4096    1024       808      1877      4795      4624      3834      1518      4106       2519       4678      1688      2009      4184      4391
            4096    2048       358      1004      2457      1913      1958       885      2330        911       1517       896      1196      2096      2407
            4096    4096       214       458      1044      1010       874       466       867        434        933       439       512       751      1036
            8192       4    150508    366953    509945    520734    389941    279285    359610     364338     383379    343792    287319    499623    522063
            8192       8     95026    174828    371157    367034    297501    152380    298888     294664     321990    167675    168556    322740    311233
            8192      16     44789     96365    201248    198532    206037    105305    181685     153207     175709    109661     96734    209657    194521
            8192      32     22424     52663    111409    127178    110880     49220    111155      91688      94671     52619     53927    144304    148845
            8192      64     15503     27338     62992     72483     61477     26191     49669      64614      66281     24255     26235     53849     59481
            8192     128      5051     13335     38697     37734     40228     12251     37649      30623      39097     12635     13380     39558     41426
            8192     256      3309      7799     19703     17965     21123      6596     19298      14862      16318      6669      7454     19207     20659
            8192     512      1893      3655      7870      9462      8569      3826      8101       6725      10980      3195      3429      9974     10907
            8192    1024       778      1701      5091      4917      5081      1647      5718       1951       4360      1610      1569      4014      4162
            8192    2048       415       913      2682      2661      2087       893      2070       1044       2297       929       993      2510      2328
            8192    4096       172       523       763       803       793       424       804        444        874       406       717       759       768
            8192    8192       105       212       478       442       461       247       460        236        453       239       239       400       484
           16384       4    176309    338207    591129    614382    462299    281181    416554     463396     452294    339551    305992    486519    503619
           16384       8     87904    174312    356047    404178    295564    179065    410102     343284     315032    192083    208317    387810    366499
           16384      16     54557    111813    229999    250365    202527    122490    249391     212403     222320    123447    122882    249637    258315
           16384      32     29974     53855    138495    138450    123434     56386    129492     111860     106491     49421     53261    137899    138121
           16384      64     12850     32478     66150     68066     61923     28067     60120      55505      63411     25125     27124     66821     60262
           16384     128      6331     14978     45664     34641     37680     16427     35416      27699      36097     13318     13414     36762     38693
           16384     256      3083      7091     16231     16653     16775      6993     17543      13570      16619      6185      6311     15779     17988
           16384     512      1583      3157      8101      8743      9193      3586      9540       6237       8808      2902      3091      8175      9224
           16384    1024       664      1678      3876      3577      4066      1610      3819       2935       5229      1650      1551      3646      4505
           16384    2048       392      1092      2434      2108      1892       927      2029       1145       2273       812       964      2297      1989
           16384    4096       227       486       769       792       776       442       795        560        778       504       493       825       736
           16384    8192        88       195       368       386       386       185       399        209        355       197       321       337       385
           16384   16384        40        93       196       216       219       106       208        106        246       104       115       227       240
           32768      64     10418     29465     74084     63888     57257     24672     63007      44630      64508     21259     27546     97653     99495
           32768     128      6653     16047     40125     39108     38565     14364     36472      27228      33104     14416     17939     54993     41925
           32768     256      3234      7218     21223     20391     20002      7168     18675      13675      18602      6899      7028     20901     18420
           32768     512      1589      3917     11072     11665      8828      3322      8561       5874       8952      3326      3185     11674      9181
           32768    1024       741      2173      5822      5957      5569      1951      5244       3362       4541      1782      1830      7583      6103
           32768    2048       445       968      2300      2241      2102       937      2158       1289       1782       768       761      1996      1602
           32768    4096       197       515       837       899       907       460       809        510        818       405       381       937       936
           32768    8192       100       277       546       452       458       239       445        262        425       229       250       517       453
           32768   16384        51       131       230       236       231       130       212        113        217       111       177       224       224
           65536      64     13536     39702     93267     81644     70581     29933     92904      63967      64577     26206     36010     91773     81846
           65536     128      7228     20997     56971     51716     39865     16513     45321      28867      39423     14507     14715     55973     46864
           65536     256      3596      9998     24794     23046     18605      7422     23882      13604      20395      6860      7581     24854     23985
           65536     512      1633      5674     12445     11197      8917      4186     12319       7144      10208      3386      3898     12586     11169
           65536    1024       893      2882      4989      5124      4593      2002      5842       3503       4980      1687      2061      5891      5763
           65536    2048       434      1350      3180      2902      2608      1052      2639       1283       2470       830       965      2818      2697
           65536    4096       222       643      1079       959       898       548       921        565        800       436       528       963       949
           65536    8192        88       306       463       476       439       254       467        280        390       207       233       524       454
           65536   16384        52       169       256       212       215       103       243        143        189       107       148       271       230
          131072      64     13907     46596    101698     85963     79094     34154     89287      72598      76732     25681     44531     87290     83725
          131072     128      7486     19649     50393     40594     41524     16506     51013      36281      38587     14844     21476     57544     44139
          131072     256      3805     11895     30393     16090     19732      8353     21127      16889      19697      6975     10227     21746     20531
          131072     512      1857      5321     12398     10778     11129      4170     14646       7953       9249      3219      4961     13252     12043
          131072    1024       972      2624      6621      5488      5759      2161      6698       4021       5184      1619      2261      6739      4889
          131072    2048       486      1431      2864      2438      2556      1063      2929       1516       2243       718       986      3077      2190
          131072    4096       235       600       988       919      1011       515      1050        589        975       411       600      1028       906
          131072    8192       124       305       464       459       478       271       454        307        441       221       283       487       447
          131072   16384        58       155       230       234       247       129       235        149        230       117       169       227       227
          262144      64     18175     40624     98958    105798     85074     35625     90613      74594      83268     33052     47136    106641     99542
          262144     128      8952     20627     55106     49376     46975     18203     49970      35031      47292     16248     22191     51246     49660
          262144     256      4607     12168     28689     24755     23642      9563     26625      18664      23855      7498      9302     25477     26443
          262144     512      2278      5741     13557     12858     12693      4867     12825       7108       9873      3491      5257     13873     12278
          262144    1024      1093      2628      6878      5988      6102      2378      6789       4159       5911      1846      2521      7422      6569
          262144    2048       544      1442      3127      3150      3059      1170      3096       1739       2625       838      1186      3039      2874
          262144    4096       275       751      1077      1217      1058       587      1082        612       1041       468       603      1025      1270
          262144    8192       137       372       467       539       493       325       479        329        497       263       317       480       533
          262144   16384        74       164       238       315       264       147       237        157        224       125       146       248       265
          524288      64     19710     50690    109561    130516    113763     46098     95183      90390      98846     37117     43508    103652    135032
          524288     128      9297     14439     47574     61345     53930      9048     44400      43154      52415     16114     17988     55937     60041
          524288     256      4752     10341     27615     31436     26934      9928     28507      18937      26792      8491      9708     27105     35189
          524288     512      2335      6291     13723     15282     14206      5072     14128       8828      14158       614      4772     14264     15851
          524288    1024      1156      2679      7209      7886      7119      2571      7188       4503       7026      2182      2636      7109      8008
          524288    2048       504       971      3216      4022      3366      1192      2709       1729       3230       864      1002      3205      3728
          524288    4096       290       645       917      1552      1187       629      1209        690       1201       535       633      1130      1391
          524288    8192       143       294       513       549       518       290       524        333        527       266       325       515       555
          524288   16384        73       195       262       333       267       184       263        161        264       134       162       265       280

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   159856  73454  42174  21743  11220 
"128"   144040  72097  36679  18686  11232  5185 
"256"   169273  90394  47635  25404  14341  5798  3310 
"512"   151666  115914  53349  20027  10912  7490  3589  1543 
"1024"   149633  114183  52760  23338  11886  6784  3122  1516  801 
"2048"   162333  68248  45025  22205  12944  7451  3511  1539  904  414 
"4096"   185906  88410  41871  22542  11267  6058  2777  1631  808  358  214 
"8192"   150508  95026  44789  22424  15503  5051  3309  1893  778  415  172  105 
"16384"   176309  87904  54557  29974  12850  6331  3083  1583  664  392  227  88  40 
"32768"   0  0  0  0  10418  6653  3234  1589  741  445  197  100  51 
"65536"   0  0  0  0  13536  7228  3596  1633  893  434  222  88  52 
"131072"   0  0  0  0  13907  7486  3805  1857  972  486  235  124  58 
"262144"   0  0  0  0  18175  8952  4607  2278  1093  544  275  137  74 
"524288"   0  0  0  0  19710  9297  4752  2335  1156  504  290  143  73 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   355438  181566  55589  47445  31113 
"128"   271253  173944  97314  37718  28551  10759 
"256"   323491  221918  114363  62976  34183  16953  7872 
"512"   342216  264519  136150  51629  29516  14503  9906  4425 
"1024"   252478  260136  119847  58924  29475  15295  7507  3976  1851 
"2048"   321200  150493  99923  63432  28625  12057  6993  3247  2089  1014 
"4096"   298286  196228  120974  59369  27244  14284  7070  3261  1877  1004  458 
"8192"   366953  174828  96365  52663  27338  13335  7799  3655  1701  913  523  212 
"16384"   338207  174312  111813  53855  32478  14978  7091  3157  1678  1092  486  195  93 
"32768"   0  0  0  0  29465  16047  7218  3917  2173  968  515  277  131 
"65536"   0  0  0  0  39702  20997  9998  5674  2882  1350  643  306  169 
"131072"   0  0  0  0  46596  19649  11895  5321  2624  1431  600  305  155 
"262144"   0  0  0  0  40624  20627  12168  5741  2628  1442  751  372  164 
"524288"   0  0  0  0  50690  14439  10341  6291  2679  971  645  294  195 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   589679  365494  175117  183134  58411 
"128"   516608  340990  148598  117482  62692  43327 
"256"   339016  367915  297197  156938  71451  30862  15661 
"512"   503723  363829  262243  118607  69069  39587  22745  8778 
"1024"   527687  327399  211899  99953  70804  40194  20820  10812  3715 
"2048"   459668  270613  216584  136482  50159  32127  17017  8457  6270  2146 
"4096"   562993  405047  218960  118519  72319  39606  16428  10101  4795  2457  1044 
"8192"   509945  371157  201248  111409  62992  38697  19703  7870  5091  2682  763  478 
"16384"   591129  356047  229999  138495  66150  45664  16231  8101  3876  2434  769  368  196 
"32768"   0  0  0  0  74084  40125  21223  11072  5822  2300  837  546  230 
"65536"   0  0  0  0  93267  56971  24794  12445  4989  3180  1079  463  256 
"131072"   0  0  0  0  101698  50393  30393  12398  6621  2864  988  464  230 
"262144"   0  0  0  0  98958  55106  28689  13557  6878  3127  1077  467  238 
"524288"   0  0  0  0  109561  47574  27615  13723  7209  3216  917  513  262 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   550950  236622  180777  179221  59236 
"128"   463130  390609  139923  111250  84049  37181 
"256"   674790  421001  266510  121220  51973  39052  18574 
"512"   531131  474430  220823  122059  63936  41650  24399  11372 
"1024"   523570  387686  244075  107390  78784  37922  17794  10358  5434 
"2048"   453074  277681  228183  105816  57142  34051  17624  8351  6101  2701 
"4096"   494253  324011  198737  124396  69582  26626  16230  9951  4624  1913  1010 
"8192"   520734  367034  198532  127178  72483  37734  17965  9462  4917  2661  803  442 
"16384"   614382  404178  250365  138450  68066  34641  16653  8743  3577  2108  792  386  216 
"32768"   0  0  0  0  63888  39108  20391  11665  5957  2241  899  452  236 
"65536"   0  0  0  0  81644  51716  23046  11197  5124  2902  959  476  212 
"131072"   0  0  0  0  85963  40594  16090  10778  5488  2438  919  459  234 
"262144"   0  0  0  0  105798  49376  24755  12858  5988  3150  1217  539  315 
"524288"   0  0  0  0  130516  61345  31436  15282  7886  4022  1552  549  333 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   445002  332862  182747  105112  66782 
"128"   394983  340990  195304  102421  80039  45686 
"256"   477808  307976  262343  133255  66627  35725  16656 
"512"   342434  383038  278572  43838  72659  43941  26731  10310 
"1024"   363634  419822  222989  85554  80388  46745  19604  9012  5179 
"2048"   383835  289589  192164  92506  52289  33324  17165  9437  4159  2335 
"4096"   348170  260971  187690  113484  64329  29090  15339  10337  3834  1958  874 
"8192"   389941  297501  206037  110880  61477  40228  21123  8569  5081  2087  793  461 
"16384"   462299  295564  202527  123434  61923  37680  16775  9193  4066  1892  776  386  219 
"32768"   0  0  0  0  57257  38565  20002  8828  5569  2102  907  458  231 
"65536"   0  0  0  0  70581  39865  18605  8917  4593  2608  898  439  215 
"131072"   0  0  0  0  79094  41524  19732  11129  5759  2556  1011  478  247 
"262144"   0  0  0  0  85074  46975  23642  12693  6102  3059  1058  493  264 
"524288"   0  0  0  0  113763  53930  26934  14206  7119  3366  1187  518  267 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   270812  177719  88859  49990  23326 
"128"   262243  180010  84348  51336  27702  17490 
"256"   310759  175722  121177  57475  24570  14721  6800 
"512"   221043  209093  118587  69846  27395  17018  8130  3446 
"1024"   273787  202531  111485  56233  30716  17859  7693  4175  1996 
"2048"   248556  194807  98457  46677  23806  13289  7098  3530  2000  1058 
"4096"   243578  154820  83966  54329  25858  14966  6482  3420  1518  885  466 
"8192"   279285  152380  105305  49220  26191  12251  6596  3826  1647  893  424  247 
"16384"   281181  179065  122490  56386  28067  16427  6993  3586  1610  927  442  185  106 
"32768"   0  0  0  0  24672  14364  7168  3322  1951  937  460  239  130 
"65536"   0  0  0  0  29933  16513  7422  4186  2002  1052  548  254  103 
"131072"   0  0  0  0  34154  16506  8353  4170  2161  1063  515  271  129 
"262144"   0  0  0  0  35625  18203  9563  4867  2378  1170  587  325  147 
"524288"   0  0  0  0  46098  9048  9928  5072  2571  1192  629  290  184 

"Backward read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   340990  215360  99980  49990  30436 
"128"   344319  225344  137627  69961  39234  22214 
"256"   453587  223768  181962  62976  36727  27076  10517 
"512"   352785  319639  145445  38661  42538  35113  17231  4425 
"1024"   398744  297632  178741  105533  68984  29081  19512  7517  3663 
"2048"   299936  268046  170662  107943  56021  31868  15351  8062  4774  1661 
"4096"   389502  298726  217145  115934  63045  30616  16245  9546  4106  2330  867 
"8192"   359610  298888  181685  111155  49669  37649  19298  8101  5718  2070  804  460 
"16384"   416554  410102  249391  129492  60120  35416  17543  9540  3819  2029  795  399  208 
"32768"   0  0  0  0  63007  36472  18675  8561  5244  2158  809  445  212 
"65536"   0  0  0  0  92904  45321  23882  12319  5842  2639  921  467  243 
"131072"   0  0  0  0  89287  51013  21127  14646  6698  2929  1050  454  235 
"262144"   0  0  0  0  90613  49970  26625  12825  6789  3096  1082  479  237 
"524288"   0  0  0  0  95183  44400  28507  14128  7188  2709  1209  524  263 

"Record rewrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   433503  266716  111250  52823  25605 
"128"   351534  202864  122997  61725  33851  17862 
"256"   441646  204973  199844  100220  46499  18859  7196 
"512"   295665  307907  204973  86950  44930  23243  11055  3558 
"1024"   316476  327199  188798  101311  52477  22034  9999  4376  1626 
"2048"   363622  231919  153663  93832  45779  23499  12558  5369  2563  1003 
"4096"   410577  247954  186322  91168  50630  22807  11809  5742  2519  911  434 
"8192"   364338  294664  153207  91688  64614  30623  14862  6725  1951  1044  444  236 
"16384"   463396  343284  212403  111860  55505  27699  13570  6237  2935  1145  560  209  106 
"32768"   0  0  0  0  44630  27228  13675  5874  3362  1289  510  262  113 
"65536"   0  0  0  0  63967  28867  13604  7144  3503  1283  565  280  143 
"131072"   0  0  0  0  72598  36281  16889  7953  4021  1516  589  307  149 
"262144"   0  0  0  0  74594  35031  18664  7108  4159  1739  612  329  157 
"524288"   0  0  0  0  90390  43154  18937  8828  4503  1729  690  333  161 

"Stride read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   550950  241736  168098  90388  50047 
"128"   410695  332541  204842  92791  66679  23326 
"256"   247907  316696  334198  108307  78469  37149  13670 
"512"   372102  304761  217601  181962  77707  40839  20029  8325 
"1024"   369897  292285  195680  83791  107407  45977  17701  9090  3817 
"2048"   354089  262284  172029  114921  58513  53695  20412  9479  5479  1371 
"4096"   421413  286376  179531  90142  63164  30679  19826  9840  4678  1517  933 
"8192"   383379  321990  175709  94671  66281  39097  16318  10980  4360  2297  874  453 
"16384"   452294  315032  222320  106491  63411  36097  16619  8808  5229  2273  778  355  246 
"32768"   0  0  0  0  64508  33104  18602  8952  4541  1782  818  425  217 
"65536"   0  0  0  0  64577  39423  20395  10208  4980  2470  800  390  189 
"131072"   0  0  0  0  76732  38587  19697  9249  5184  2243  975  441  230 
"262144"   0  0  0  0  83268  47292  23855  9873  5911  2625  1041  497  224 
"524288"   0  0  0  0  98846  52415  26792  14158  7026  3230  1201  527  264 

