	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Sep 25 22:28:45 2025

	Network distribution mode enabled.
	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -+m /shared/machines.txt -f /shared/testfile -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4     82463    168274    231565    611160    271909    181962    213175     163359     379562    216615    188082    250587    457127
              64       8     34923    109724    420451    234965    221035    103625    122997      95377     209970     57573     40830    106587    234965
              64      16     22863     72689    191072    306121    251134     68813     63596      71451      67703      9074     47688     47020    142414
              64      32      7092     33313     77097    168426     77097     26989     36344      22203      21519      3583     24686     51210     68868
              64      64      2747      5851    100328     45686     34719      6756      6946       9991      13156     12343     15152     27093     24995
             128       4     96089    166563    363925    483135    394983    179963    227177     390388     278572    209125    206550     89609    164926
             128       8     26104    111884    281018    258304     71104    143148     52436      54041     371165    134539    123861     73039    126906
             128      16     21862     40632    154056     72659    111178     22922     92998      76120     131171     66077     66601     84137     94305
             128      32     11588     27785     92791    104985    147419     33367     39216      33906      74299     22227     32275     49961     54683
             128      64      7276      5933     30749     28168     23776      6554     30749      11247      22262     16650     10158     15626     28649
             128     128      3831      4761     15374     32312     23722      8545      7039      11624      10412     11131      6454     14675     15374
             256       4    126691    203082    592827    582535    500060    185408    262193     328238     151333    265565    307554    355635    420873
             256       8     12867    141608    269078    291267    329930    136844    227177      75666     250030    121705     71590    186983    186983
             256      16     27260     25972     66391    128117    122953     67800    125015      49063      76888     24020     53695    155414    148206
